Screening_Location_ID,total_screen_median,census_popn,census_prop_age15to44,GEOTB_rate_total,census_perc_blender,Category_Community (general),Category_Health facility,Category_Large Market,Category_Transport terminal,intercept
1077,0.12545235223160434,0.07184470090301082,0.48539247,0.6340924141526368,0.756934551,0,0,1,0,1
1001,0.609167671893848,0.0,0.52331631,0.8781076074900958,0.697673431,1,0,0,0,1
1003,0.1278648974668275,0.1162496249160635,0.473934086,0.598545830078554,0.795012259,1,0,0,0,1
1004,0.09891435464414958,0.10614155894059538,0.484361677,0.6827127589538814,0.767374217,1,0,0,0,1
1002,0.11942098914354644,0.10301458703717989,0.469733098,0.47594685816840976,0.816742184,0,1,0,0,1
1059,0.10856453558504221,0.09765711224865394,0.457356953,0.5754767736427967,0.781428195,1,0,0,0,1
1098,0.097708082026538,0.10301458703717989,0.469733098,0.47594685816840976,0.816742184,1,0,0,0,1
1006,0.17973462002412546,0.5020783103840503,0.487398638,0.3751453906113705,0.785988689,1,0,0,0,1
1063,0.04463208685162847,0.5437972660262463,0.518889012,0.3785141899363009,0.737645657,1,0,0,0,1
1005,0.18335343787696018,0.5020783103840503,0.487398638,0.3751453906113705,0.785988689,1,0,0,0,1
1016,0.09891435464414958,0.5020783103840503,0.487398638,0.3751453906113705,0.785988689,1,0,0,0,1
1014,1.0,0.5512134379724751,0.502802304,0.39953003219306205,0.759948566,1,0,0,0,1
1079,0.11821471652593486,0.9209235622822323,0.434962421,0.18596563222039916,0.889377994,1,0,0,0,1
1011,0.4620024125452352,0.9209235622822323,0.434962421,0.18596563222039916,0.889377994,1,0,0,0,1
1078,0.09650180940892641,0.9209235622822323,0.434962421,0.18596563222039916,0.889377994,1,0,0,0,1
1015,0.20868516284680338,0.9209235622822323,0.434962421,0.18596563222039916,0.889377994,1,0,0,0,1
1010,0.5379975874547648,0.9209235622822323,0.434962421,0.18596563222039916,0.889377994,0,0,1,0,1
1012,0.4028950542822678,0.9209235622822323,0.434962421,0.18596563222039916,0.889377994,1,0,0,0,1
1007,0.4041013268998794,0.5469414469227415,0.494036026,0.31298501402902146,0.852927837,1,0,0,0,1
1017,0.10012062726176116,0.5469414469227415,0.494036026,0.31298501402902146,0.852927837,1,0,0,0,1
1013,0.23281061519903498,0.5469414469227415,0.494036026,0.31298501402902146,0.852927837,1,0,0,0,1
1018,0.2436670687575392,0.5469414469227415,0.494036026,0.31298501402902146,0.852927837,1,0,0,0,1
1099,0.15319662243667068,1.0,0.471404884,0.7290162818093936,0.80918032,1,0,0,0,1
1100,0.13268998793727382,1.0,0.471404884,0.7290162818093936,0.80918032,1,0,0,0,1
1019,0.11218335343787696,0.09156222055094229,0.497807591,0.07896227996840334,0.841985882,1,0,0,0,1
1023,0.44149577804583834,0.3911519406959929,0.495492669,0.2357957872227972,0.830279883,0,0,1,0,1
1097,0.07237635705669482,0.23893216014507576,0.489154844,0.5630440793371368,0.820981203,1,0,0,0,1
1080,0.10494571773220748,0.23893216014507576,0.489154844,0.5630440793371368,0.820981203,1,0,0,0,1
1081,0.3848009650180941,1.0,0.471404884,0.7290162818093936,0.80918032,1,0,0,0,1
1031,0.14234016887816647,1.0,0.471404884,0.7290162818093936,0.80918032,1,0,0,0,1
1082,0.07720144752714113,0.11916961718860064,0.531676575,0.4520631263829841,0.791411132,1,0,0,0,1
1040,0.1519903498190591,0.3911519406959929,0.495492669,0.2357957872227972,0.830279883,1,0,0,0,1
1086,0.10494571773220748,0.10274417802300999,0.506045574,1.0,0.688984421,1,0,0,0,1
1041,0.24125452352231605,0.25499941944141874,0.488077547,0.042467910349059584,0.884358437,1,0,0,0,1
1083,0.30036188178528345,0.15854961205678667,0.499784902,0.05053236103658824,0.838974757,0,0,1,0,1
1087,0.1338962605548854,0.1370853301676536,0.505481128,0.6077143410099264,0.792822195,1,0,0,0,1
1090,0.1399276236429433,0.2579625706355183,0.47369881,0.07678992824511706,0.895910873,1,0,0,0,1
1093,0.1097708082026538,0.17559846852430297,0.5043766,0.23696687205705022,0.796846269,1,0,0,0,1
1085,0.27744270205066346,0.1409468935101366,0.489937397,0.38704848533302555,0.814325971,0,0,1,0,1
1092,0.27864897466827504,0.2022476060087112,0.474292959,0.5958560379130863,0.771618976,1,0,0,0,1
1024,0.13148371531966224,0.0870238520696267,0.504963597,0.7154124753731821,0.64155691,1,0,0,0,1
1096,0.10132689987937274,0.12446867179361407,0.511009153,0.013798802815018463,0.743943882,1,0,0,0,1
1101,0.14475271411338964,1.0,0.471404884,0.7290162818093936,0.80918032,0,1,0,0,1
1046,0.06031363088057901,0.19234791774660218,0.49898911,0.0537743385553843,0.800942221,1,0,0,0,1
1030,0.15078407720144751,0.09324820793222391,0.466896944,0.2771370986662173,0.778745404,1,0,0,0,1
1111,0.10615199034981906,1.0,0.471404884,0.7290162818093936,0.80918032,1,0,0,0,1
1114,0.07961399276236429,1.0,0.471404884,0.7290162818093936,0.80918032,1,0,0,0,1
1109,0.11338962605548854,1.0,0.471404884,0.7290162818093936,0.80918032,1,0,0,0,1
1112,0.13027744270205066,0.09765711224865394,0.457356953,0.5754767736427967,0.781428195,1,0,0,0,1
1089,0.14234016887816647,0.2022476060087112,0.474292959,0.5958560379130863,0.771618976,1,0,0,0,1
1115,0.09891435464414958,1.0,0.471404884,0.7290162818093936,0.80918032,1,0,0,0,1
1116,0.10735826296743065,1.0,0.471404884,0.7290162818093936,0.80918032,1,0,0,0,1
1102,0.1278648974668275,0.23139030517779594,0.493175859,0.05347604307683916,0.849696701,1,0,0,0,1
1105,0.04825090470446321,0.15212887540316808,0.521442901,0.719183021845203,0.81898801,0,0,0,1,1
1106,0.06031363088057901,0.29688165216104107,0.503612416,0.24690086050229362,0.846989958,1,0,0,0,1
1108,0.09529553679131483,0.07184470090301082,0.48539247,0.6340924141526368,0.756934551,0,0,1,0,1
1107,0.12907117008443908,0.03101299908860011,0.502018751,0.2965203815865597,0.740322092,1,0,0,0,1
1066,0.16646562123039807,0.02460021317878141,0.442137818,0.33519373283891407,0.710658141,1,0,0,0,1
1119,0.1519903498190591,0.033132355789724094,0.51866392,0.8012803170544885,0.65140493,1,0,0,0,1
1070,0.11097708082026538,0.10274417802300999,0.506045574,1.0,0.688984421,1,0,0,0,1
1122,0.13510253317249699,0.09034582182965885,0.50898916,0.530986024048601,0.73070617,1,0,0,0,1
1118,0.05066344993968637,1.0,0.471404884,0.7290162818093936,0.80918032,1,0,0,0,1
1121,0.3703256936067551,0.575482532180302,0.489899324,0.3031474294820707,0.706750458,1,0,0,0,1
1113,0.18094089264173704,0.3911519406959929,0.495492669,0.2357957872227972,0.830279883,1,0,0,0,1
1130,0.1471652593486128,0.22576126290120604,0.466021629,0.2958943028066962,0.798709427,1,0,0,0,1
1131,0.09167671893848009,0.09034582182965885,0.50898916,0.530986024048601,0.73070617,1,0,0,0,1
1132,0.17611580217129072,0.2600946813159361,0.506870649,0.3582509993590435,0.833135782,1,0,0,0,1
1127,0.09288299155609167,0.06726050460732458,0.493217192,0.46561156937142545,0.818079198,1,0,0,0,1
1128,0.13872135102533173,0.14416584162938037,0.488394342,0.5231523177620724,0.831466418,1,0,0,0,1
1126,0.11338962605548854,0.14416584162938037,0.488394342,0.5231523177620724,0.831466418,0,1,0,0,1
1125,0.09529553679131483,0.11916961718860064,0.531676575,0.4520631263829841,0.791411132,1,0,0,0,1
1133,0.1218335343787696,0.1125477796317646,0.511553454,0.6851284690962368,0.671082506,1,0,0,0,1
1129,0.04101326899879373,0.08266882641608314,0.486789929,0.134435435882665,0.903881085,0,0,0,1,1
1141,0.08323281061519903,0.029118487899967568,0.458273186,0.3852807539436278,0.81346704,1,0,0,0,1
1136,0.09891435464414958,0.1542083804961598,0.506182836,0.27253902531514557,0.837438579,1,0,0,0,1
1137,0.14595898673100122,0.1542083804961598,0.506182836,0.27253902531514557,0.837438579,1,0,0,0,1
1140,0.10012062726176116,0.15212887540316808,0.521442901,0.719183021845203,0.81898801,0,0,0,1,1
1145,0.09650180940892641,0.09043249558178638,0.499513411,0.6124249116803185,0.673288598,1,0,0,0,1
1146,0.1037394451145959,0.20929371909183483,0.477094407,0.4062496767304098,0.764857993,1,0,0,0,1
1148,0.12665862484921592,0.23180971066840544,0.475609764,0.6581297548346863,0.835828594,0,1,0,0,1
1142,0.1037394451145959,0.28707603161104206,0.48232989,0.27304838754249017,0.895504956,1,0,0,0,1
1144,0.08805790108564536,0.20929371909183483,0.477094407,0.4062496767304098,0.764857993,1,0,0,0,1
1149,0.12424607961399277,0.5020783103840503,0.487398638,0.3751453906113705,0.785988689,0,1,0,0,1
1138,0.08443908323281062,0.2600946813159361,0.506870649,0.3582509993590435,0.833135782,1,0,0,0,1
1139,0.09650180940892641,0.03374646141354819,0.490928212,0.8668380475713837,0.724652115,1,0,0,0,1
1153,0.1338962605548854,0.5437972660262463,0.518889012,0.3785141899363009,0.737645657,0,1,0,0,1
1155,0.13751507840772015,0.2022476060087112,0.474292959,0.5958560379130863,0.771618976,1,0,0,0,1
1162,0.11821471652593486,0.5512134379724751,0.502802304,0.39953003219306205,0.759948566,1,0,0,0,1
1156,0.09650180940892641,1.0,0.471404884,0.7290162818093936,0.80918032,1,0,0,0,1
1151,0.09167671893848009,0.09034582182965885,0.50898916,0.530986024048601,0.73070617,0,1,0,0,1
1161,0.09167671893848009,0.5437972660262463,0.518889012,0.3785141899363009,0.737645657,0,0,0,1,1
1165,0.0,0.575482532180302,0.489899324,0.3031474294820707,0.706750458,1,0,0,0,1
1166,0.14837153196622438,0.575482532180302,0.489899324,0.3031474294820707,0.706750458,1,0,0,0,1
1171,0.1278648974668275,0.024890183094729332,0.509010779,0.0,0.765504921,1,0,0,0,1
1176,0.09891435464414958,0.029118487899967568,0.458273186,0.3852807539436278,0.81346704,0,1,0,0,1
